token_id,UNO amount,owner_address,kalamint_username
2758,6,tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,leethisone
2759,6,tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,leethisone
2760,6,tz1XNiBL2rr3AEuyPXAyqCEDtKy3DCB9kDpf,rossa
2761,6,tz1LyaSjXZfDNtZydjKRem4BNPCSGA2mvwae,allen
3146,6,tz1WHUWCMqVqq5AagGN5DrytqWz88tYgedUr,mack
3147,6,tz1isUkFmwZvUqrBPLnfTn9hVqMcNzKCdCp3,rulkim
3148,6,tz1XNiBL2rr3AEuyPXAyqCEDtKy3DCB9kDpf,rossa
3149,6,tz1LyaSjXZfDNtZydjKRem4BNPCSGA2mvwae,allen
3150,6,tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,leethisone
3151,6,tz1N5LxqGVNxim9F9hVAciPGqxNjqscL1eUL,orus
3152,6,tz1ZKjHfnw7pWTkfJMwGguDBqr6vngFH68ci,perfectparadox
3153,6,tz1L9o9zasQLvyxpSwhekofMAZQmjFP8wjVX,edel702
3154,6,tz1VjQwV2YrNchNz2CtCHaM6VhkyKXeiujmz,dirtychacha
3155,6,tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu,jonnylittleears
3188,6,tz1ZKjHfnw7pWTkfJMwGguDBqr6vngFH68ci,perfectparadox
3189,6,tz1bZ8vsMAXmaWEV7FRnyhcuUs2fYMaQ6Hkk,cky6202
5005,6,tz1hes6aF3Px3D8nPQx27fdwBKrXmGs1UYxT,mkavalich@gmail.com
5006,6,tz1WHUWCMqVqq5AagGN5DrytqWz88tYgedUr,mack
5007,6,tz1bZ8vsMAXmaWEV7FRnyhcuUs2fYMaQ6Hkk,cky6202
5008,6,tz1L9o9zasQLvyxpSwhekofMAZQmjFP8wjVX,edel702
5017,6,tz1L9o9zasQLvyxpSwhekofMAZQmjFP8wjVX,edel702
5018,6,tz1WHUWCMqVqq5AagGN5DrytqWz88tYgedUr,mack
5019,6,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,
5020,6,tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,leethisone
5022,6,tz1N5LxqGVNxim9F9hVAciPGqxNjqscL1eUL,orus
5023,6,tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,leethisone
5024,6,tz1WHUWCMqVqq5AagGN5DrytqWz88tYgedUr,mack
5025,6,tz1XNiBL2rr3AEuyPXAyqCEDtKy3DCB9kDpf,rossa
5026,6,tz1NsE7vEgP3M9bDdkNGF4rCaTUENp5h56ZU,anexa
5027,6,tz1WHUWCMqVqq5AagGN5DrytqWz88tYgedUr,mack
5028,6,tz1isUkFmwZvUqrBPLnfTn9hVqMcNzKCdCp3,rulkim
5029,6,tz1ez5hc7wfNKrZ65vVRyC6JBBxZF6UYX3aD,choikala
5030,6,tz1ez5hc7wfNKrZ65vVRyC6JBBxZF6UYX3aD,choikala
5157,6,tz1isUkFmwZvUqrBPLnfTn9hVqMcNzKCdCp3,rulkim
5158,6,tz1NsE7vEgP3M9bDdkNGF4rCaTUENp5h56ZU,anexa
5420,6,tz1YHWL72KHVVRGxPfEA2r1jtLtuCmjM4hgW,coldrage
5421,6,tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,greenkumquat
5422,6,tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,greenkumquat
5423,6,tz1WHUWCMqVqq5AagGN5DrytqWz88tYgedUr,mack
5424,6,tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,leethisone
5425,6,tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,greenkumquat
5426,6,tz1hes6aF3Px3D8nPQx27fdwBKrXmGs1UYxT,mkavalich@gmail.com
5427,6,tz1YHWL72KHVVRGxPfEA2r1jtLtuCmjM4hgW,coldrage
5428,6,tz1ez5hc7wfNKrZ65vVRyC6JBBxZF6UYX3aD,choikala
5429,6,tz1L9o9zasQLvyxpSwhekofMAZQmjFP8wjVX,edel702
5430,6,tz1WHUWCMqVqq5AagGN5DrytqWz88tYgedUr,mack
5431,6,tz1ez5hc7wfNKrZ65vVRyC6JBBxZF6UYX3aD,choikala
5432,6,tz1UWcWrf5UkKUYLPwk5AeMc1bC9Jx77Heyy,geom
5433,33,tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,greenkumquat
5759,6,tz1gsUr2fTHmSW7JWUWvN1aYjGzEGr5jNucp,
5760,6,tz1dTmMLY7tan1HKfW5e3KxJcfZput6UuTH6,savagecrypto
5761,6,tz1YkPeYATuSD36FLBhCQsG4rCd8EWUwy3Jq,
5762,6,KT1FvqJwEDWb1Gwc55Jd1jjTHRVWbYKUUpyq,
5763,6,tz1LyaSjXZfDNtZydjKRem4BNPCSGA2mvwae,allen
