Block ID,Minting time,UNO Backlog,ENR Backlog,MIN Backlog,MCH Backlog
0000,2021-05-03 21:49:57,14.0048,14004.7537,778.0419,778.0419
0001,2021-05-05 20:15:41,10.7301,1532.8693,3832.1733,766.4347
0002,2021-05-05 23:51:21,10.7175,1531.0721,5358.7524,765.5361
0003,2021-05-06 00:04:21,12.2477,1530.9637,5358.3731,765.4819
0004,2021-05-06 00:13:01,12.2471,12247.1324,765.4458,765.4458
0005,2021-05-06 00:18:01,12.2468,1530.8499,6888.8243,765.4249
0006,2021-05-06 00:18:01,12.2468,1530.8499,6888.8243,765.4249
0007,2021-05-06 00:30:01,7.6537,1530.7498,5357.6245,765.3749
0008,2021-05-06 00:34:01,13.7764,7653.5828,765.3583,765.3583
0009,2021-05-07 00:38:41,4.556,10630.7436,759.3388,759.3388
0010,2021-05-07 00:15:41,9.1132,9113.2158,759.4347,759.4347
0011,2021-05-07 00:54:21,10.6298,10629.8297,759.2736,759.2736
0012,2021-05-10 16:22:26,10.3237,1474.813,5161.8457,737.4065
0013,2021-05-10 16:26:26,11.7982,1474.7797,4424.3391,737.3899
0014,2021-05-10 16:31:26,5.899,11797.9044,737.369,737.369
0015,2021-05-10 16:35:26,13.2723,1474.7047,4424.1141,737.3524
0016,2021-05-10 16:38:26,8.8481,1474.6797,4424.0391,737.3398
0017,2021-05-10 16:43:26,7.3732,1474.6381,5898.5522,737.319
0018,2021-05-13 20:27:38,2.8735,1436.7697,5747.0788,718.3849
0019,2021-05-13 21:01:38,11.4919,10055.4048,718.2432,718.2432
0020,2021-05-13 20:33:38,8.6203,8620.3182,718.3599,718.3599
0021,2021-05-13 20:36:38,4.3101,1436.6947,6465.1262,718.3474
0022,2021-05-13 20:39:38,2.8733,12930.0273,718.3348,718.3348
0023,2021-05-13 20:41:38,8.6199,8619.9183,718.3265,718.3265
0024,2021-05-13 21:05:38,5.7458,1436.4531,4309.3592,718.2265
0025,2021-05-15 00:12:14,7.1145,1422.8981,3557.2451,711.449
0026,2021-05-20 12:40:42,2.7133,1356.6608,5426.6434,678.3304
0027,2021-05-20 12:43:42,4.0699,1356.6358,5426.5434,678.3179
0028,2021-05-20 12:46:42,6.7831,1356.6109,5426.4434,678.3054
0029,2021-05-20 12:48:42,5.4264,8139.5649,678.2971,678.2971
0030,2021-05-20 12:51:02,2.7131,6782.8735,678.2873,678.2873
0031,2021-05-20 12:58:02,4.0695,10852.1312,678.2582,678.2582
0032,2021-05-20 13:01:02,6.7825,9495.4398,678.2457,678.2457
0033,2021-05-20 13:04:02,6.7823,1356.4664,3391.166,678.2332
