block_id,token_id,owner_address,kalamint_username
0000,7239,tz1P6pDyZi8wQ8R8C2Gyns8XfUCn2H69hitX,dejesusjuan
0001,7478,tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,leethisone
0002,7486,tz1WHUWCMqVqq5AagGN5DrytqWz88tYgedUr,mack
0003,7487,tz1Qotor8Giih28Nb1NxWkqnhyoUTkGn3v8H,zak
0004,7488,tz1LyaSjXZfDNtZydjKRem4BNPCSGA2mvwae,allen
0005,7489,tz1WHUWCMqVqq5AagGN5DrytqWz88tYgedUr,mack
0006,7489,tz1WHUWCMqVqq5AagGN5DrytqWz88tYgedUr,mack
0007,7494,tz1YHWL72KHVVRGxPfEA2r1jtLtuCmjM4hgW,coldrage
0008,7495,tz1WHUWCMqVqq5AagGN5DrytqWz88tYgedUr,mack
0009,7579,tz1f79i5fG2DQCMtqwRxsUkQPjgjqC8YL7YD,dox
0010,7559,tz1huCEjtBzbYCwqAGNtt1QHS2pbBu72w6cg,
0011,7584,tz1WHUWCMqVqq5AagGN5DrytqWz88tYgedUr,mack
0012,8048,tz1Rq5jS4cMHwcfrLa3dh9nNwbUg978yYoAn,dig
0013,8049,tz1YHWL72KHVVRGxPfEA2r1jtLtuCmjM4hgW,coldrage
0014,8050,tz1ichH92L9WtocJMmoAqFbjGzoWmRM5EF9k,
0015,8051,tz1Rq5jS4cMHwcfrLa3dh9nNwbUg978yYoAn,dig
0016,8052,tz1NLygTJ3vD52DDB9AFRmvHvWmfRfzLJU9N,jthompson
0017,8053,tz1LyaSjXZfDNtZydjKRem4BNPCSGA2mvwae,allen
0018,8717,tz1SpRwsAdsWshBeugtEaWD5PhesgzRvHVrn,gphlat
0019,8723,tz1SpRwsAdsWshBeugtEaWD5PhesgzRvHVrn,gphlat
0020,8719,tz1WHUWCMqVqq5AagGN5DrytqWz88tYgedUr,mack
0021,8720,tz1bZ8vsMAXmaWEV7FRnyhcuUs2fYMaQ6Hkk,cky6202
0022,8721,tz1VjQwV2YrNchNz2CtCHaM6VhkyKXeiujmz,dirtychacha
0023,8722,tz1YHWL72KHVVRGxPfEA2r1jtLtuCmjM4hgW,coldrage
0024,8727,tz1YHWL72KHVVRGxPfEA2r1jtLtuCmjM4hgW,coldrage
0025,8909,tz1YHWL72KHVVRGxPfEA2r1jtLtuCmjM4hgW,coldrage
0026,9821,tz1bvryvndKZo9yjcQeT29kQ4QgnQc3kUfFX,mrbiggi3
0027,9822,tz1VjQwV2YrNchNz2CtCHaM6VhkyKXeiujmz,dirtychacha
0028,9823,tz1WHUWCMqVqq5AagGN5DrytqWz88tYgedUr,mack
0029,9824,tz1Rq5jS4cMHwcfrLa3dh9nNwbUg978yYoAn,dig
0030,9825,tz1e3JMZRrfofz6LZc4wydMTHSBiL8rvCEnd,nftuser
0031,9826,tz1hYznEL7P8PVMbKMaBqnP1JbUf7po1r3rh,xtellar
0032,9827,tz1ZeRsv3qTfoKAzfaJLSGtqXpnJeUTM8BHg,lucyfer
0033,9828,tz1ZMKjCpidYt7koZNirgMBEh1p877cD37ef,sho
0034,9829,tz2Mz3ovkZR2HyC89CHHSdsrPya1mKSmLWfD,
0035,9830,tz1NsE7vEgP3M9bDdkNGF4rCaTUENp5h56ZU,anexa
0036,10470,tz1SZvFfWyKfzRpxskgFmFd4oXQrRHz8kfWH,
0037,10471,tz1ZMKjCpidYt7koZNirgMBEh1p877cD37ef,sho
0038,10472,tz1Rq5jS4cMHwcfrLa3dh9nNwbUg978yYoAn,dig
0039,10610,tz1codeYURj5z49HKX9zmLHms2vJN2qDjrtt,codecrafting
0040,10609,tz1SZvFfWyKfzRpxskgFmFd4oXQrRHz8kfWH,
0041,10611,tz1N5LxqGVNxim9F9hVAciPGqxNjqscL1eUL,orus
0042,10762,tz1SZvFfWyKfzRpxskgFmFd4oXQrRHz8kfWH,
0043,10774,tz1Rq5jS4cMHwcfrLa3dh9nNwbUg978yYoAn,dig
0044,10775,tz1SZvFfWyKfzRpxskgFmFd4oXQrRHz8kfWH,
0045,10860,tz1hYznEL7P8PVMbKMaBqnP1JbUf7po1r3rh,xtellar
0046,10861,tz1dvCEuewmo5wZwKq2vesBXyXz5vL6UpGNn,mybantu
0047,10862,tz1Vq5mYKXw1dD9js26An8dXdASuzo3bfE2w,jamin_b
0048,10945,tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,greenkumquat
0049,10946,tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,greenkumquat
0050,10947,tz1WHUWCMqVqq5AagGN5DrytqWz88tYgedUr,mack
0051,11241,tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,greenkumquat
